,discriminator,Generator
207,0.025231367,13.576841
208,0.026891688,13.039293
209,0.013953436,13.139669
210,0.013220361,12.904822
211,0.016365744,12.47486
212,0.011200963,13.697905
213,0.012889544,13.271279
214,0.011421662,13.816367
215,0.021536756,11.855865
216,0.0134103885,13.465066
217,0.015475546,14.241532
218,0.0119843455,13.499733
219,0.009818403,13.005873
220,0.01468438,12.788057
221,0.01151099,13.221958
222,0.010692798,12.518402
223,0.012009881,13.5752735
224,0.02636481,11.754671
225,0.021872085,13.721323
226,0.013390803,13.544806
227,0.3421603,15.556916
228,1.8386542,11.82276
229,0.53011113,11.516916
230,2.579026,8.711871
231,0.8243123,8.70833
232,0.7020953,8.926405
233,0.45126984,8.264009
234,0.40604043,7.578089
235,0.45530045,8.672279
236,0.43650424,10.052219
237,0.38440293,8.294477
238,0.32280332,7.7308764
239,0.28941777,9.480715
240,0.33793122,7.84858
241,0.19426273,9.653052
242,0.23472536,9.629648
243,0.23297098,9.68301
244,0.20131445,10.774464
245,0.19695042,10.83066
246,0.29679692,8.24954
247,0.22706258,9.663918
248,0.35579228,9.8800745
249,0.15707015,11.027752
250,0.28211182,9.969606
251,0.20893578,10.465452
252,0.16163994,10.240409
253,0.08005707,11.596412
254,0.116599366,10.9931555
255,0.05199008,12.750379
256,0.041809283,10.659003
257,0.11523445,10.833853
258,0.03999491,12.576099
259,0.24130788,10.012684
260,0.14235991,11.234401
261,0.12352306,11.059936
262,0.37429547,12.422654
263,0.6780468,10.696762
264,0.31873283,9.364055
265,0.3946298,9.548316
266,0.2878608,10.803352
267,0.2383874,10.406684
268,0.21474235,10.142967
269,0.24256721,10.601847
270,0.07215811,12.100698
271,0.13068026,10.849276
272,0.07910902,10.929323
273,0.05928961,11.037266
274,0.03831254,12.183649
275,0.06944157,11.429693
276,0.05375416,11.981426
277,0.019255556,12.360365
278,0.030245505,12.070181
279,0.02532963,11.807711
280,0.053786173,11.531288
281,0.038354717,13.019239
282,0.06884796,11.728215
283,0.050208855,11.368335
284,0.10224569,11.9334
285,0.048204884,12.460127
286,0.024402525,13.616189
287,0.03431224,12.251691
288,0.1522623,11.166637
289,0.24555591,11.055401
290,0.2954255,11.476288
291,0.30349925,11.705523
292,0.2481366,11.976372
293,0.20427026,11.581448
294,0.038762767,10.460376
295,0.08822982,11.3233185
296,0.042608686,12.637375
297,0.02969354,12.513792
298,0.01691453,12.447816
299,0.020892717,11.022989
300,0.16770098,12.808303
301,0.042108163,13.204514
302,0.19478558,11.65196
303,0.050587595,10.03302
304,0.025301095,13.295638
305,0.033641268,13.075418
306,0.013458718,13.147272
307,0.01381462,12.638698
308,0.012714852,13.071934
309,0.02583005,12.515687
310,0.13715985,12.825735
311,0.11120363,12.061138
